Criterion;Control;"Achieved objectives 
Yes: green
In part: orange
No: red";Pilot (Responsible);Allocated resources;Justification / comment;"Issue to achieve? 
If yes, please explain";Expected date of completion;Date of final completion;"Review by WP leader
Yes: green
In part: orange
No: red";Date of review;Comment
SF4.1.1 Demonstrator facilities should strengthen and enhance employment potential (job creation and emergence of new trades);Identification of participation in the evolution of trades and skills and their acquisition;Yes;Laurent;"pedagogical meeting 
involvement of academic decison-makers to vazlidate the strategic vision and module implementation
hour of training (PM)";"See LP AFTER (Circular Eco + Green FabLab)
LP FabAdd 3D printer and close-loop process (recycled plastic)  
Master IDEAS (new workshop: Cocreation in VR) 
Master IUVTT New module (Circular Eco) 
for PhD Student - Job done by ED & Univesrsity";NA;NA;NA;Yes;2022-03-29T00:00:00Z;ok
SF4.1.2 Demonstrator facilities shall support human capital development;Evaluate the investment in the employee training;In part;Mauricio / Laurent;"Infra+ (quality process) of ERPI laboratory 
LP After evaluation 
Scientifc publication
Ecole doctorale";"Alexandre Astachenko a work-study student (LP After) for 12 months
Several Scientifc publications since Oct 2019
for PhD Student - Job done by ED & Univesrsity
Doctoral training program of a PhD student (Guillaume Pronost ?)
Benjamin (technical training)";NA;NA;NA;Yes;2022-03-29T00:00:00Z;ok
SF4.1.2 Demonstrator facilities shall support human capital development;Measure the level of the acquired knowledge;Yes;Mauricio / Laurent;"Infra+ (quality process) of ERPI laboratory 
LP After & LP FabAdd evaluation 
Scientifc publication
PhD defensis / manuscript";"Supervision and review of students' tutored projects (LP AFTER)
Follow-up meeting of a PhD student (GP)";NA;NA;NA;Yes;2022-03-29T00:00:00Z;ok
SF4.1.2 Demonstrator facilities shall support human capital development;Transmission of knowledge and skills;Yes;Mauricio / Laurent;"Infra+ (quality process) of ERPI laboratory 
LP After & LP FabAdd evaluation 
M2 IDEAS
Scientifc publications
Octroi Nancy ecossytem";"One official Meeting per month with Octroi Nancy ecosystem  

Also demonstration of manufacturing of smart collectors of plastic waste and demonstrator for development of   3D printing of recycled plastic (in progress)
+ voir Hakim pour les thèses CIFRE";Late due to pandemic;NA;NA;Yes;2022-03-29T00:00:00Z;NA
SF4.1.2 Demonstrator facilities shall support human capital development;Evaluate the evolution of the qualification level of young and senior people;Yes;Mauricio / Laurent;"Infra+ (quality process) of ERPI laboratory
DD&RS label of UL
LP After evaluation
Scientifc publication
Staff annual interviews";"This dimension is taken into account within the  “DD&RS” Label: the French sustainable development label for higher education institutions
Technical reports (WP4 and WP6)
Valorisation of the deliverables in scientific contributions (conference papers, articles, chapters, posters...)";NA;NA;NA;Yes;2022-03-29T00:00:00Z;ok
SF4.2.1 Demonstrator facilities shall implement the principles and strategies of circular economy;Presence of recycling and waste management practices;Yes;Fabio;"Cristian Caceres as Engineer (M2 level) for 12 months
Alexandre Astachenko a work-study student (LP After) for 12 months
Fabio + Benjamin";"Sorting and collection of waste (plastic and others) + posters to sensitize the staff
Training programs on recycling practices (student workshops, thesis on plastic recycling...)
Courses and case studies on circular business models for plastic recycling";NA;NA;NA;Yes;2022-03-29T00:00:00Z;NA
SF4.2.1 Demonstrator facilities shall implement the principles and strategies of circular economy;Presence of ecodesign practices;In part;Fabio / Benjamin;"Cristian Caceres as Engineer (M2 level) for 12 months
Alexandre Astachenko a work-study student (LP After) for 12 months
Fabio + Benjamin";"Approaches and methodologies on the life cycle assessment of the plastic recycling in closed loop supply chain (to be implented) 
Upcycling (wood) for furniture manufacturing
recycled plastic injection";NA;NA;NA;Yes;2022-03-29T00:00:00Z;"ecodesign definition: ""integrate the environment in the design of the product or service, and during all stages of its life cycle"""
SF4.2.1 Demonstrator facilities shall implement the principles and strategies of circular economy;Presence of sustainable purchases and responsible consumption;No;Benjamin / Aurélia; ;Not relevant: procurement depends on the public market framed by the university; ; ; ;Yes;2022-03-29T00:00:00Z;Ok, we can explain that the system is decentralized in our case
SF4.2.1 Demonstrator facilities shall implement the principles and strategies of circular economy;Presence of practice aiming at dematerialization of the offer (replacing the good by a service);Yes;Fabio;"
LF2L + Green Fab Lab Equipment and material";"(as Xerox model) provision of equipment to the FabLab association NYBI for 3D printing, laser cut…
the same for team project (start up) at Octroi Nancy"; ; ; ;Yes;2022-03-29T00:00:00Z;ok
SF4.2.1 Demonstrator facilities shall implement the principles and strategies of circular economy;Presence of waste/materials sharing and recovery flows;In part;Fabio;"Cristian Caceres as Engineer (M2 level) for 12 months
Alexandre Astachenko a work-study student (LP After) for 12 months
Fabio + Benjamin";"recovery flows are present (plastic waste recovery) + wood upcycling
The supply of waste is currently a project in development.At this stage work on the identification of stakeholders users of plastic waste from the green fab lab"; ; ; ;Yes;2022-03-29T00:00:00Z;ok
SF4.2.3 Demonstrator facilities must promote responsible production and consumption processes;Integration of environmental and social criteria in mobility policies;No; ; ;Not in the scope of the project; ; ; ;No;2022-05-25T00:00:00Z;Not in the scope
SF4.2.3 Demonstrator facilities must promote responsible production and consumption processes;Identification of indicators to measure the impacts of mobility;No; ; ;Not in the scope of the project; ; ; ;No;2022-05-25T00:00:00Z;Not in the scope
SF4.2.3 Demonstrator facilities must promote responsible production and consumption processes;Set measurable and quantifiable improvement objectives over time;In part;Fabio;scientific work of the research team on closed-loop supply chain optimization;analysis of the environmental and logistical feasibility of distributed plastic recycling; ; ; ;Yes;2022-03-24T00:00:00Z;ok
SF4.2.3 Demonstrator facilities must promote responsible production and consumption processes;Implementation of concrete actions in place, their followup and evaluation over time; ; ; ; ; ; ; ; ;2022-03-24T00:00:00Z;please explain, Can you specify your actions to achieve this control?
SF4.2.3 Demonstrator facilities must promote responsible production and consumption processes;Valorisation of the company’s policy with customers and suppliers (via the website, catalogues or commercial brochures, etc.).;Yes;Benjamin?;ICEEL technical sheets (academic collegium) and internal communication support of the laboratory (EPRI) and the engineering school (ENSGSI); ; ; ; ;Yes;2022-03-24T00:00:00Z;ok
SF4.2.4 Demonstrator facilities should reduce greenhouse gas emissions and anticipate the effects of climate change;Implementation of a concrete action plan to reduce fuel consumption and CO2 emissions;In part;Fabio;"Cristian Caceres as Engineer (M2 level) for 12 months
Alexandre Astachenko a work-study student (LP After) for 12 months
Fabio + Benjamin";"implementation of eco-friendly transport actions for the collection of small quantities of plastic waste (individual travel)
under development: bicycle transportation

possible synergy with theATP Rives de Meurthe/ Echogeste associations ?"; ; ; ;Yes;2022-03-24T00:00:00Z;NA
SF4.2.4 Demonstrator facilities should reduce greenhouse gas emissions and anticipate the effects of climate change;Implementation of a “green” awareness-raising campaign for transport service providers.;No; ; ; ; ; ; ;No;NA;NA
SF4.2.4 Demonstrator facilities should reduce greenhouse gas emissions and anticipate the effects of climate change;Involvement in the joint definition of a transport plan with external service providers.;No; ; ; ; ; ; ;No;NA;NA
SF4.2.4 Demonstrator facilities should reduce greenhouse gas emissions and anticipate the effects of climate change;Inform relative transport providers about CO2 emission requirements;No; ; ; ; ; ; ;No;NA;NA
SF4.2.4 Demonstrator facilities should reduce greenhouse gas emissions and anticipate the effects of climate change;Inform providers of the good practices to adopt;No; ; ; ; ; ; ;No;NA;NA
SF4.2.4 Demonstrator facilities should reduce greenhouse gas emissions and anticipate the effects of climate change;Propose the use of fuel performance monitoring indicators;No; ; ; ; ; ; ;No;NA;NA
SF4.2.4 Demonstrator facilities should reduce greenhouse gas emissions and anticipate the effects of climate change;Presence of a “compensation” approach: purchase of services aimed at capturing a greenhouse gas or avoiding its emission;No; ; ; ; ; ; ;No;NA;NA
SF4.2.4 Demonstrator facilities should reduce greenhouse gas emissions and anticipate the effects of climate change;Targeting “carbon neutrality”;In part;Fabio;"Cristian Caceres as Engineer (M2 level) for 12 months
Alexandre Astachenko a work-study student (LP After) for 12 months
Fabio + Benjamin";ecofriendly means of transport of plastic waste; ; ; ;Yes;2022-03-24T00:00:00Z;ok
SF4.4.3 Demonstrator facilities should promote a health-promoting attitude and prevent and risks;Presence of health and safety management strategy in the organization;Yes;Mauricio / Benjamin;"Infra+ (quality process) of ERPI laboratory
DD&RS label of UL";mandatory;NA;NA;NA;Yes;2022-03-24T00:00:00Z;ok
SF4.4.3 Demonstrator facilities should promote a health-promoting attitude and prevent and risks;Pooling of resources for advice on health and safety standards (e.g., OHSAS) with local stakeholders.;Yes;Mauricio / Benjamin;"Infra+ (quality process) of ERPI laboratory
DD&RS label of UL";mandatory;NA;NA;NA;Yes;2022-03-24T00:00:00Z;ok
SF4.4.3 Demonstrator facilities should promote a health-promoting attitude and prevent and risks;Identification of hazards, risk assessment and means of control;Yes;Mauricio / Benjamin;"Infra+ (quality process) of ERPI laboratory
DD&RS label of UL";mandatory;NA;NA;NA;Yes;2022-03-24T00:00:00Z;ok
SF4.4.3 Demonstrator facilities should promote a health-promoting attitude and prevent and risks;Adopt the principles of continuous improvement, prevention of harm to persons and regulatory compliance.;Yes;Mauricio / Benjamin;"Infra+ (quality process) of ERPI laboratory
DD&RS label of UL";mandatory;NA;NA;NA;Yes;2022-03-24T00:00:00Z;ok
SF4.4.3 Demonstrator facilities should promote a health-promoting attitude and prevent and risks;Implementation of information and risk awareness support, depending on the workstations—;Yes;Mauricio / Benjamin;"Infra+ (quality process) of ERPI laboratory
DD&RS label of UL";mandatory;NA;NA;NA;Yes;2022-03-24T00:00:00Z;ok
SF4.4.3 Demonstrator facilities should promote a health-promoting attitude and prevent and risks;Implementation of training sessions internally and with local partners;Yes;Mauricio / Benjamin;"Infra+ (quality process) of ERPI laboratory
DD&RS label of UL";mandatory;NA;NA;NA;Yes;2022-03-24T00:00:00Z;ok
SF4.5.1 Demonstrator facilities should develop synergies with local stakeholders;Relationships with local companies within short circuits networks;Yes;Fedoua;Octroi Nancy + local stakeholders (SMEs, public compagnies): 24 targeted stakeholders;"interviews with 24 stakeholders (done)
smart collectors installation with 4 stakeholders (in progress)";manufacturing capacity of  smart collectors; ; ;In part;2022-03-24T00:00:00Z;NA
SF4.5.1 Demonstrator facilities should develop synergies with local stakeholders;Presence of relationships with the university and local research centres;Yes;Mauricio;ERPI Team + LF2L + link ICEEL + other lab (see Hakim); ; ; ; ;Yes;2022-03-24T00:00:00Z;ok
SF4.5.1 Demonstrator facilities should develop synergies with local stakeholders;Development of relations with the associative actors;Yes;Laurent;Octroi Nancy + AVQ (citizen council);"interviews with 24 stakeholders (done)
smart collectors installation with 4 stakeholders (in progress)";manufacturing capacity of  smart collectors; ; ;In part;2022-03-24T00:00:00Z;NA
SF4.5.2 Demonstrator facilities should participate in the development of new forms of collaboration with local stakeholders;New cooperation in the context of innovation clusters;Yes;Mauricio / Laurent;Link with Materalia and sister projects; ; ; ; ;Yes;2022-03-24T00:00:00Z;ok
SF4.5.2 Demonstrator facilities should participate in the development of new forms of collaboration with local stakeholders;Participation in national or European research programs;Yes;Mauricio / Laurent;link with sister projects + ICE-IMAOT conference;organization of a common workshop ICE-IAMOT conference; ; ; ;Yes;2022-03-24T00:00:00Z;ok
SF4.5.3 The demonstrator’s facilities must contribute to the implementation of shared management around collective projects;Involvement in local projects;Yes;Laurent;Green FabLab at Octroi Nancy + ATP Rives de Meurthe;"Involvement in local projects of mask collection for plastic injection. Beginning of reflection on the possibilities of 3D printing of recycled masks  ?
+  (PhD LUE + Research Program ACTA Mobilier https://www.acta-mobilier.fr/)"; ; ; ;Yes;2022-03-24T00:00:00Z;ok
SF4.5.3 The demonstrator’s facilities must contribute to the implementation of shared management around collective projects;Presence of a collaborative multi-actor management tool;Yes;Alex / Benjamin;Fabmanager Platform + PM;https://fabmanager.lf2l.fr/#!/; ; ; ;Yes;2022-05-25T00:00:00Z;ok
SF4.5.3 The demonstrator’s facilities must contribute to the implementation of shared management around collective projects;Presence of new collaborative methods (living lab methods, Adopt Open Hardware approach to develop project, etc.);Yes;Laurent;"Green FabLab at Octroi Nancy
Smart Collector
Open hardware dashboard for smart collector";in perspective: organize a collaborative workshop with the neighborhood actors (ICE-IAMOT conference); ; ; ;Yes;2022-03-24T00:00:00Z;ok
SF4.5.3 The demonstrator’s facilities must contribute to the implementation of shared management around collective projects;Participation in the implementation of a mixed governance system;In part;Laurent;"Green Fab Lab
laboratory  + engineering school governance + city of nancy
Collaboration with Octroi Nancy and its ecosystem";to be developed: it depends on the evolution of the organizational structure of the Green Fab Lab; ; ; ;In part;2022-03-24T00:00:00Z;NA
SF4.5.4 The demonstrator facilities should strengthen the connection with the surrounding territories;Regional mobility of skilled workers;In part;Mauricio / Laurent;visits / workshop with Nomad lab;"(Strasbourg, Vosj'Innov) 
Biennal creativité à Strasbroug etc."; ; ; ;In part;2022-03-24T00:00:00Z;please explain, Can you specify your actions to achieve this control?
SF4.5.4 The demonstrator facilities should strengthen the connection with the surrounding territories;Knowledge transfer (study days, workshops, use innovative space…);Yes;Mauricio / Laurent;visits / workshop at Green Fablab + Nomad'lab + press + link with sister projects;ex: Visite AERIADES, VNF, etc. (see Infra+); ; ; ;Yes;2022-03-24T00:00:00Z;ok
SF4.6.1 The demonstrator’s facilities should enhance the technological and scientific visibility of the territory;Presence of rare skills;Yes;Mauricio;"ERPI Team
gigabot X 3D printing";"PhD thesis LUE (Catalina, Supervisor: Hakim Boudaoud, J.M. Pearce, C. Nouvel)
Printability analysis of recycled plastics in the gigabot x"; ; ; ;Yes;2022-03-24T00:00:00Z;ok
SF4.6.1 The demonstrator’s facilities should enhance the technological and scientific visibility of the territory;Participation in national and international events (seminars, congresses, study days…);Yes;Laurent;"OIK 2021, Spring of innnovation 2020
ICE 2021
ICE-IAMOT 2022
etc.
Special Issue INEDIT";"contributions in seminars 
workshops
valorisation in scientific papers  (open access)"; ; ; ;Yes;2022-03-24T00:00:00Z;ok
SF4.6.1 The demonstrator’s facilities should enhance the technological and scientific visibility of the territory;Participation in innovation competitions;No; ; ; ; ; ; ;No;2022-03-24T00:00:00Z;NA
SF4.6.1 The demonstrator’s facilities should enhance the technological and scientific visibility of the territory;Dissemination of scientific and technical knowledge (scientific publications, patents…);Yes;All team;"see Zenodo (INEDIT)
HAL"; ; ; ; ;Yes;2022-03-24T00:00:00Z;ok
SF4.6.2 Demonstrator facilities must promote the attractiveness of skilled workers;Proposition of attractive new work opportunities;Yes;Mauricio;"green Fablab and LF2L 
Financial ressources (projects)";development of a new research program (PhD LUE + Research Program ACTA Mobilier https://www.acta-mobilier.fr/);NA;NA;NA;Yes;2022-03-24T00:00:00Z;ok
SF4.6.2 Demonstrator facilities must promote the attractiveness of skilled workers;Career development opportunities;Yes;Mauricio;relevant and innovative research projects;(PhD LUE + Research Program ACTA Mobilier https://www.acta-mobilier.fr/);NA;NA;NA;Yes;2022-03-24T00:00:00Z;ok
SF4.6.2 Demonstrator facilities must promote the attractiveness of skilled workers;Implementation of proper working conditions;Yes;Mauricio;"green Fablab and LF2L 
Infra+ (quality process) of ERPI laboratory";mandatory;NA;NA;NA;Yes;2022-03-24T00:00:00Z;ok
SF4.6.3 Demonstrator facilities should be a territorial marketing asset;Enhancing the image of its organization, its know-how, its products and services and highlighting its territorial anchoring;Yes;Laurent;"green Fablab and LF2L 
+ UL INEDIT Team + Pole EMPP (conference)";NA;NA;NA;NA;Yes;2022-03-24T00:00:00Z;ok
SF4.6.3 Demonstrator facilities should be a territorial marketing asset;Strengthen your own communication;Yes;Laurent;"see Zenodo (INEDIT)
HAL
+ newspaper / websites
+ ICEEL (fiches) 
+ Pole EMPP (conference)";NA;NA;NA;NA;Yes;2022-03-24T00:00:00Z;ok
SF4.6.3 Demonstrator facilities should be a territorial marketing asset;Obtain the labelling of products/services/processes/sites;In part;NA;"Infra+ (quality process) of ERPI laboratory
DD&RS label of UL";NA;NA;NA;NA;Yes;2022-03-24T00:00:00Z;ok
SF4.6.3 Demonstrator facilities should be a territorial marketing asset;Facilitate the attraction of talent;Yes;Mauricio;high-level training at different degree levels  (L, Master, PhD);NA;NA;NA;NA;Yes;2022-03-24T00:00:00Z;ok
SF4.6.3 Demonstrator facilities should be a territorial marketing asset;Promote /use innovative spaces;Yes;Laurent;"visits / workshop at Green Fablab + LF2L + Octroi Nancy
";NA;NA;NA;NA;Yes;2022-03-24T00:00:00Z;ok
SF4.6.3 Demonstrator facilities should be a territorial marketing asset;Organize Living lab event in different places with local partners (public and private);Yes;Laurent;"IDEAS Workshops
LP AFTER workshops
Futur workshop with citizens / stakeholders
+ Nomad'lab (Strasbourg)";NA;NA;NA;NA;Yes;2022-03-24T00:00:00Z;ok
CF1.1.1 The demonstrator must seek to increase the life cycle of materials considered as waste.;Reflection on the type of material;Yes;Fabio;"[15/12/2021]
- The smart collectors help to identify certain types of plastic (at least make a first sorting).
However, a manual sorting is need to better improve the sorting phase to be sure that we treat only one type at of plastic at the time.";"[15/12/2021]
Types of plastic (fillaments / pellets) that can be used in our process are mainly Polylactic Acid (PLA), Polyethylene Terephthalate (PETG), Thermoplastic polyurethane (TPU).
";NA;NA;NA;Yes;2021-01-21T00:00:00Z;Ok
CF1.1.1 The demonstrator must seek to increase the life cycle of materials considered as waste.;Reflection on the quality of the material;Yes;Fabio;[24/052022] Oussamma;[24/05/2022] production of a machine that allows us to qualify and characterize the material. Melt flow Index in Open-source;NA;NA;NA;No;2022-05-02T00:00:00Z;please explain, Can you specify your actions to achieve this control?
CF1.1.1 The demonstrator must seek to increase the life cycle of materials considered as waste.;Reflection on repairs service;Yes;Cristian/ Benjamin;[05/07/2022] 3D printing, Injection Moulding.;[05/07/2022] We have the possibility to model and produce different types of parts and products. Also there are a lot of models to joins bars and sheet. We are adapting them for us.;NA;NA;NA;Yes;2022-07-18T00:00:00Z;Ok
CF1.1.1 The demonstrator must seek to increase the life cycle of materials considered as waste.;Reflection on the recyclability of materials;Yes;Fabio;NA;[31/05/2022] plastic recycling is regulated in most countries. The important thing is to establish the plastic material used. PET 1, HDPE 2, PP 5, 7 others.;NA;NA;NA;No;2022-05-02T00:00:00Z;please explain, Can you specify your actions to achieve this control?
CF1.1.1 The demonstrator must seek to increase the life cycle of materials considered as waste.;Reflection on remanufacturing;Yes;Fabio;NA;[31/05/2022]In the case of printed PLA, the material can be recycled up to 4 times. On the other hand, HDPE, PP, PET are materials that when injected, their number of recycling cycles increases considerably.;NA;NA;NA;No;2022-05-02T00:00:00Z;please explain, Can you specify your actions to achieve this control?
CF1.1.2 The demonstrator must be aware of the environmental impact of the collection, sorting, storage and treatment of its waste.;Identification of collection sites;Yes;Fabio / Fedoua;NA;[24/05/2022] Surveys, questionnaires and territorial research to define potential stakeholders in the neighbourhood.;NA;NA;NA;Yes;2022-05-25T00:00:00Z;Ok
CF1.1.2 The demonstrator must be aware of the environmental impact of the collection, sorting, storage and treatment of its waste.;Identification of means of transport of waste;Yes;Fabio;Bike;At the moment we are collecting plastic waste in our neighbourhood, it allows us to cover short distances that can be done by bicycle.;NA;NA;NA;Yes;2022-01-31T00:00:00Z;Ok
CF1.1.2 The demonstrator must be aware of the environmental impact of the collection, sorting, storage and treatment of its waste.;Identification of transport modalities;Yes;Fabio;NA;by cargo Bike, on foot, Electric bike ?;NA;NA;NA;No;2022-05-02T00:00:00Z;please explain, Can you specify your actions to achieve this control?
CF1.1.2 The demonstrator must be aware of the environmental impact of the collection, sorting, storage and treatment of its waste.;Identification of sustainable recycling processes;In part;Fabio;NA;"[31/05/2022] - Collection made through ecological transports. 
- Water recycling in the cleaning process. 
- Recycling of defective products";NA;NA;NA;No;2022-05-02T00:00:00Z;please explain, Can you specify your actions to achieve this control?
CF1.1.2 The demonstrator must be aware of the environmental impact of the collection, sorting, storage and treatment of its waste.;Identification of the impact of materials on the ecosystem during the recycling phase (storage, treatment);In part;Fabio;LCA software, Database;We can evaluate the potential impacts of our activities thanks to life cycle analysis. the available software is OpenLCA and the database is Ecoinvent;NA;NA;NA;Yes;2022-01-31T00:00:00Z;Ok
CF1.1.3 The demonstrator must choose recycling technologies that preserve the mechanical properties of the materials.;Knowledge of different types of technology;Yes;Fabio/ Cristian/ Benjamin;NA;"[31/05/2022] Experience. Literature review and benchmarketing on communities such as ""Precious Plastic"", ""Brothers Make"", etc.";NA;NA;NA;In part;2022-05-02T00:00:00Z;please explain, Can you specify your actions to achieve this control?
CF1.1.3 The demonstrator must choose recycling technologies that preserve the mechanical properties of the materials.;Presence of material knowledge;In part;Fabio / Hakim/ Catalina;Mel flow Index;[05/07/2022] Thank to Melt-flow index machine developed by Oussamma, we will have the possibility to qualify and to understand the differents plastics behaviour;NA;NA;NA;In part;2022-07-18T00:00:00Z;please explain the skills
CF1.1.3 The demonstrator must choose recycling technologies that preserve the mechanical properties of the materials.;Identification of clean technologies and end-of-pipe;In part;Fabio;NA;NA;NA;NA;NA;No;2022-05-02T00:00:00Z;please explain, Can you specify your actions to achieve this control?
CF1.1.4 The demonstrator must be aware of the technological and organizational limits of the recycling system for its materials.;Knowledge of materials and material degradation;In part;Fabio / Hakim;NA;[05/07/2022] Thank to Melt-flow index machine developed by Oussamma, we will have the possibility to qualify and to understand the differents plastics behaviour.;NA;NA;NA;In part;2022-07-18T00:00:00Z;please explain the skills
CF1.1.4 The demonstrator must be aware of the technological and organizational limits of the recycling system for its materials.;Knowledge of the economic costs and cost-effectiveness of recycling;In part;Cristian;Excel, Cost structure methodology;[25/01/2022]Costs can be identified on the one hand as fixed costs where we find staff, rent, insurance, etc. Variable costs that are related to our production. For the moment we don't have production;[25/01/2022]To calculate the benefits of recycling in economic terms, we need the selling price of our products. At the moment it has not been defined.;NA;NA;Yes;2022-01-31T00:00:00Z;Ok
CF1.1.4 The demonstrator must be aware of the technological and organizational limits of the recycling system for its materials.;Identification of products incompatible with production processes;No;Cristian/ Cataliba / Alexandre;NA;NA;NA;NA;NA;No;2022-05-02T00:00:00Z;please explain, Can you specify your actions to achieve this control?
CF1.1.4 The demonstrator must be aware of the technological and organizational limits of the recycling system for its materials.;Knowledge of the capacity and cost-effectiveness of recycling systems;Yes;Cristian;NA;[05/07/2022] We know our system capacity of production and the different production costs but we don't have an economic activity, so for the moment calculating effectiveness is complicated.;NA;NA;NA;Yes;2022-07-18T00:00:00Z;Ok, noted
CF1.1.4 The demonstrator must be aware of the technological and organizational limits of the recycling system for its materials.;Reflection on the possibility of developing recycling;Yes;Fabio/ Cristian;NA;[05/07/2022] for the moment We are improving our plate production by adapting a hydraulic press, we are improving our injection system by adapting an extruder and we want to improve our washing station by buying a washing machine that will also allow us to recycle the water used.;NA;NA;NA;Yes;2022-07-18T00:00:00Z;Ok
CF1.1.4 The demonstrator must be aware of the technological and organizational limits of the recycling system for its materials.;Identification of investment costs in recycling processes and difficulties related to the sorting and separation of wastes;Yes;Cristian;NA;[05/07/2022] We know our activity costs in terms of tehcnology. The difficulties related to the sorting isThere is no low-cost technology to optimise this process and it is usually done by hand, taking a long time.;NA;NA;NA;Yes;2022-07-18T00:00:00Z;Ok, noted
CF1.1.4 The demonstrator must be aware of the technological and organizational limits of the recycling system for its materials.;Storage space identification;Yes;Cristian/ Alexandre;"Cristian Caceres as Engineer (M2 level) for 12 months
Alexandre Astachenko a work-study student (LP After) for 12 months
Benjamin";[26/01/2022] We identify storage areas, where plastic waste is separated by material type, colour, condition (clean/dirty). It will then be sorted as material ready to be used for the shredding phase. Finally it will be stored by colour and material type.;NA;NA;NA;Yes;2022-01-31T00:00:00Z;Ok
CF1.1.4 The demonstrator must be aware of the technological and organizational limits of the recycling system for its materials.;Identification of precautions to be taken in relation to products to be recycled and the characteristics of the waste;In part;Fabio / Hakim;[LD]Catalina thesis? + Cifre entreprise ?;NA;NA;NA;NA;No;2022-05-02T00:00:00Z;please explain, Can you specify your actions to achieve this control?
CF1.1.4 The demonstrator must be aware of the technological and organizational limits of the recycling system for its materials.;Identification of patents and associated procedures related to recycling techniques and product regulations;In part;Fabio / Hakim;[LD]Catalina thesis? + Cifre entreprise ?;NA;NA;NA;NA;No;2022-05-02T00:00:00Z;please explain, Can you specify your actions to achieve this control?
CF1.1.4 The demonstrator must be aware of the technological and organizational limits of the recycling system for its materials.;Recycling Knowledge;Yes;Fabio / Hakim;pedagogical tema & researchers;"LP AFTER (Circular Eco + Green FabLab)
LP FabAdd 3D printer and close-loop process (recycled plastic)  
Master IDEAS (???)
Master IUVTT New module (Circular Eco) 
PhD Students";NA;NA;NA;In part;2022-05-02T00:00:00Z;please, specify the skills
CF1.1.5 The demonstrator must inform about the recyclable parts of its products and the associated recycling chains.;Transmission of the product recycling information;No;NA;NA;NA;NA;NA;NA;No;2022-05-02T00:00:00Z;please explain, Can you specify your actions to achieve this control?
CF1.2.1 The demonstrator must consider the entire life cycle of the product.;Reflection on elimination/reduction of unnecessary packaging;No;Cristian;NA;NA;NA;NA;NA;No;2022-05-02T00:00:00Z;please explain, Can you specify your actions to achieve this control?
CF1.2.1 The demonstrator must consider the entire life cycle of the product.;Search for reusable packaging;No;Cristian;NA;NA;NA;NA;NA;No;2022-05-02T00:00:00Z;please explain, Can you specify your actions to achieve this control?
CF1.2.1 The demonstrator must consider the entire life cycle of the product.;Reflection for compacting and simplifying product;No;Cristian;NA;NA;NA;NA;NA;No;2022-05-02T00:00:00Z;please explain, Can you specify your actions to achieve this control?
CF1.2.1 The demonstrator must consider the entire life cycle of the product.;Reflection for improving product life cycle and improving product quality to limit after-sales services;No;Cristian;NA;NA;NA;NA;NA;No;2022-05-02T00:00:00Z;please explain, Can you specify your actions to achieve this control?
CF1.2.1 The demonstrator must consider the entire life cycle of the product.;Assessment of environmental impact (indicators, vision, strategy);Yes;Fabio/ Cristian;PC, LCA software;[26/01/2022] We can evaluate the potential impacts of our activities thanks to life cycle analysis. the available software is OpenLCA and the database is Ecoinvent;NA;NA;NA;Yes;2022-01-31T00:00:00Z;Ok
CF1.2.1 The demonstrator must consider the entire life cycle of the product.;Anticipation of the manufacturing network;No;Cristian;NA;NA;NA;NA;NA;No;2022-05-02T00:00:00Z;please explain, Can you specify your actions to achieve this control?
CF1.2.1 The demonstrator must consider the entire life cycle of the product.;Reflection on repairs, reuse and remanufacturing;Yes;Alexandre/Cristian;NA;"[26/01/2022] : Each of the parts produced can be replaced if necessary. Printed parts in the case study ""Workbench"".";we upcycled a workbench, using 3D printing as a customisation tool.;NA;NA;Yes;2022-01-31T00:00:00Z;Ok
CF1.2.1 The demonstrator must consider the entire life cycle of the product.;Facilitation of end-of-life collection and transportation;No;NA;NA;[26/01/2022]Depends on the platform ? in the demonstrator we want to short-circuit recycling.;NA;NA;NA;No;2022-05-02T00:00:00Z;Prrof needed from UL, expected the information from the platform
CF1.2.1 The demonstrator must consider the entire life cycle of the product.;Information about treatment facilities;No;Cristian;NA;NA;NA;NA;NA;No;2022-05-02T00:00:00Z;please explain, Can you specify your actions to achieve this control?
CF1.2.2 The demonstrator must consider the choice of materials;Identification of materials;Yes;Fabio/ Benjamin;NA;[26/01/2022] 3D printing: PLA, PET and PP                                         Injection moulding: PHDE , PP, other thermoplastic  .;NA;NA;NA;Yes;2022-01-31T00:00:00Z;Ok
CF1.2.2 The demonstrator must consider the choice of materials;Selection of non-toxic and harmless materials;No;Fabio / Hakim;NA;NA;NA;NA;NA;No;2022-05-02T00:00:00Z;please explain, Can you specify your actions to achieve this control?
CF1.2.2 The demonstrator must consider the choice of materials;Select renewable and biocompatible materials;In part;Fabio / Hakim;[LD]Catalina thesis? + Cifre entreprise ?;NA;NA;NA;NA;No;2022-05-02T00:00:00Z;please explain, Can you specify your actions to achieve this control?
CF1.2.2 The demonstrator must consider the choice of materials;Selection renewable and bio-energy resources;No;Fabio / Hakim;NA;NA;NA;NA;NA;No;2022-05-02T00:00:00Z;please explain, Can you specify your actions to achieve this control?
CF1.2.2 The demonstrator must consider the choice of materials;Selection of materials with the most efficient recycling technologies;In part;Fabio / Hakim;[LD]Catalina thesis? + Cifre entreprise ?;NA;NA;NA;NA;No;2022-05-02T00:00:00Z;please explain, Can you specify your actions to achieve this control?
